First Name;MI;Last Name;Age;Hair Color;Eye Color;Sisters;Brothers;No. of Pets;Types of Pets;Occupation;Education;Note
Zillah;L;Hanks;34;Brown;Brown;1;4;4;birds, dogs;Tutor;Princetonne;
George;N;Isaacson;43;Brown;Black;3;5;6;Unknown;Editor;night school;
Titus;W;Howards;25;Green;Black;0;5;7;birds, hamsters;Assistant;Princetonne;
Fanny;E;Onassis;49;Orange;White;2;3;7;birds, hamsters;Editor;Ventnor Univ.;
Quentin;L;Howards;40;Brown;Green;1;4;Unk.;cats;Anesthiesiologist;Ventnor Univ.;
Fanny;L;Morrison;40;Blue;Blue;1;1;2;fish, hamsters;Director;night school;
Desmond;I;Onassis;46;Blue;Brown;1;4;2;fish, hamsters;Actor;Nelson's Hall;
Kate;I;Garrison;19;Black;Red;0;5;Unk.;cats;Maid;Princetonne;
Xerxes;N;Jackson;67;Black;Black;3;5;3;birds;Administrator;night school;
Susan;N;Jackson;20;Blue;Black;1;1;3;birds;Busser;Ventnor Univ.;
Titus;S;Xerxes;51;Green;White;2;2;5;dogs, fish;Entrepreneur;night school;
Fanny;I;Johnson;48;Orange;Green;3;5;Unk.;cats;Journalist;Ventnor Univ.;
James;P;Sindel;58;Orange;Green;0;3;Unk.;cats;Instructor;night school;
Amy;M;Ebbers;53;Blue;Blue;3;1;2;fish, hamsters;Chef;Nelson's Hall;
Ernest;Y;Nichols;23;Green;Green;0;5;Unk.;cats;Cook;Princetonne;
Quentin;T;Nichols;56;Blue;Brown;0;6;10;dogs, hamsters;Valet;Ventnor Univ.;
Zillah;S;Morrison;51;Blue;Blue;2;2;6;Unknown;Botanist;Princetonne;
Quentin;A;Isaacson;66;Grey;Red;0;6;Unk.;cats;Professor;Princetonne;
Zillah;P;Dupont;58;Black;Black;1;4;7;birds, hamsters;Assistant;Ventnor Univ.;
Ida;Y;Nichols;35;Black;Green;1;4;5;dogs, fish;Dishwasher;Ventnor Univ.;
James;B;Franklin;18;Blue;Grey;0;5;Unk.;cats;Masseur;Ventnor Univ.;
George;I;Franklin;39;Red;Brown;2;2;0;None;Singer;night school;
Neville;C;Yount;77;Orange;Brown;4;1;5;dogs, fish;Professor;night school;
Leo;A;Grant;66;Brown;Green;2;2;9;Unknown;Zookeeper;Ventnor Univ.;
Leo;T;Nabors;56;Green;White;2;2;3;birds;Botanist;night school;
Ida;L;Jackson;40;Brown;Red;2;3;7;birds, hamsters;Painter;Ventnor Univ.;
Una;I;Valdez;63;Orange;White;4;1;7;birds, hamsters;Librarian;Ventnor Univ.;
Kate;N;Xerxes;33;Brown;Brown;4;1;9;Unknown;Cook;Princetonne;
Amy;O;Jackson;26;Red;Grey;3;3;Unk.;cats;Librarian;Princetonne;
Yorick;N;Charles;33;Grey;Green;1;4;8;birds, fish;Waiter;Ventnor Univ.;
Leo;N;Yount;67;Black;Green;4;1;0;None;Librarian;Ventnor Univ.;
Olive;I;Siebert;46;Blue;Grey;3;3;4;birds, dogs;Anesthiesiologist;Ventnor Univ.;
Basil;Y;Valdez;23;Black;Grey;3;5;7;birds, hamsters;Teacher;Ventnor Univ.;
Desmond;Y;Valdez;55;Black;Grey;3;1;Unk.;cats;Painter;night school;
Maud;S;Michaels;31;Green;Violet;0;6;2;fish, hamsters;Secretary;Ventnor Univ.;
Amy;N;Phelps;47;Blue;Blue;1;1;9;Unknown;Teacher;Ventnor Univ.;
Fanny;N;Dupont;76;Blue;Blue;2;2;Unk.;cats;Cook;Saint George;
Zillah;S;Onassis;62;Orange;White;4;1;0;None;Accountant;night school;
Una;B;Garrison;54;Red;Green;0;4;9;Unknown;Waiter;Ventnor Univ.;
Victor;R;Thomas;60;Brown;Grey;3;5;Unk.;cats;Botanist;Ventnor Univ.;
Olive;R;Kildare;71;Grey;Red;3;3;3;birds;Zookeeper;night school;
Rhoda;I;Yount;19;Blue;Black;0;4;7;birds, hamsters;Butler;Ventnor Univ.;
Victor;N;Unser;67;Green;White;1;1;9;Unknown;Designer;Princetonne;
Quentin;S;O'Leary;51;Green;White;4;1;4;birds, dogs;Editor;Ventnor Univ.;
Clara;R;Dupont;22;Grey;Green;0;4;10;dogs, hamsters;Editor;Ventnor Univ.;
Winnie;Y;Ximenez;57;Red;Brown;0;5;3;birds;Secretary;Ventnor Univ.;
Desmond;R;Adams;29;Red;Green;1;1;8;birds, fish;Head Officer;night school;
Hector;N;Romanov;47;Orange;Blue;2;3;Unk.;cats;Tutor;Ventnor Univ.;
Quentin;R;Brown;71;Green;White;0;5;9;Unknown;Masseur;Nelson's Hall;
Quentin;E;Williams;69;Green;Brown;2;3;7;birds, hamsters;Curator;Nelson's Hall;
Victor;M;Johnson;53;Green;Green;0;3;5;dogs, fish;Designer;South Exeter;
Olive;P;Williams;58;Orange;Green;3;5;Unk.;cats;Teller;Nelson's Hall;
Desmond;I;Thomas;63;Grey;Red;0;5;2;fish, hamsters;Tutor;night school;
Susan;N;Unser;76;Grey;Green;3;3;9;Unknown;Analyst;Ventnor Univ.;
Quentin;S;Young;50;Grey;Red;0;4;4;birds, dogs;Teller;Ventnor Univ.;
Titus;L;Morrison;34;Green;Violet;1;4;0;None;Cook;Ventnor Univ.;
Susan;R;Enfield;37;Blue;Grey;0;5;8;birds, fish;Wildcat;Princetonne;
Leo;Y;Howards;35;Brown;Red;2;2;2;fish, hamsters;Instructor;night school;
Hector;S;Kildare;64;Black;Red;2;2;8;birds, fish;Journalist;Ventnor Univ.;
Basil;T;Young;56;Blue;Blue;4;1;2;fish, hamsters;Butler;Nelson's Hall;
Kate;Y;O'Leary;35;Grey;Red;3;3;Unk.;cats;Administrator;Ventnor Univ.;
James;E;Lawrence;69;Blue;Grey;4;1;6;Unknown;Chauffeur;night school;
Xerxes;N;Michaels;67;Green;Green;2;3;Unk.;cats;Tutor;Ventnor Univ.;
Ida;Y;Isaacson;55;Orange;Blue;4;5;3;birds;Illustrator;Ventnor Univ.;
Yorick;I;Garrison;39;Black;Red;4;1;2;fish, hamsters;Auditor;Ventnor Univ.;
Xerxes;Q;Romanov;73;Brown;Brown;2;1;0;None;Unemployed;Princetonne;
Desmond;P;Sindel;58;Green;Green;2;2;2;fish, hamsters;Maid;Ventnor Univ.;
Rhoda;M;Brown;53;Green;White;4;5;6;Unknown;Busser;Princetonne;
Kate;E;Unser;42;Blue;Brown;2;2;7;birds, hamsters;Masseur;Ventnor Univ.;
Prue;U;Lambert;52;Green;Black;0;4;Unk.;cats;Analyst;Princetonne;
Ida;D;Xerxes;30;Blue;Brown;1;4;Unk.;cats;Instructor;night school;
Maud;T;Siebert;65;Brown;Green;2;2;6;Unknown;Teacher;night school;
Prue;L;Yount;40;Red;Brown;1;4;0;None;Professor;Ventnor Univ.;
Olive;I;Howards;46;Brown;Red;0;3;Unk.;cats;Waiter;night school;
Clara;R;Williams;37;Brown;Green;2;2;Unk.;cats;Operator;Ventnor Univ.;
Titus;E;Ximenez;49;Green;Violet;1;1;7;birds, hamsters;Docent;Ventnor Univ.;
Prue;Y;Franklin;57;Grey;Green;3;5;Unk.;cats;Teacher;Princetonne;
Titus;Y;Ximenez;78;Grey;Black;4;1;5;dogs, fish;Illustrator;Ventnor Univ.;
Leo;N;Sindel;76;Brown;Brown;0;5;5;dogs, fish;Editor;Ventnor Univ.;
Fanny;N;Xerxes;20;Grey;Black;0;4;7;birds, hamsters;Sysop;Princetonne;
Susan;E;Isaacson;61;Brown;Red;1;1;6;Unknown;Lumberjack;night school;
Winnie;S;Garrison;62;Brown;Red;3;3;Unk.;cats;Zookeeper;Ventnor Univ.;
James;Q;Brown;73;Green;White;4;5;1;hamsters;Anesthiesiologist;Ventnor Univ.;
Xerxes;F;Islington;70;Blue;Blue;2;3;3;birds;Lumberjack;Ventnor Univ.;
Kate;S;Queen;64;Green;Violet;2;1;3;birds;Professor;Ventnor Univ.;
Quentin;E;Ximenez;61;Orange;Grey;0;3;7;birds, hamsters;Botanist;Nelson's Hall;
Victor;I;Hanks;46;Orange;Blue;3;5;7;birds, hamsters;Analyst;Saint George;
Xerxes;U;Hanks;52;Blue;Blue;0;6;Unk.;cats;Maid;night school;
James;E;Valdez;75;Green;Violet;0;6;Unk.;cats;Journalist;Ventnor Univ.;
George;S;Watanabe;64;Orange;Grey;2;3;9;Unknown;Secretary;Princetonne;
Neville;R;Sindel;29;Black;Grey;3;3;3;birds;Curator;Ventnor Univ.;
Ernest;N;Xerxes;47;Orange;Brown;3;3;1;hamsters;Clerk;Princetonne;
Desmond;O;Howards;44;Green;Violet;0;5;0;None;Tutor;Ventnor Univ.;
Leo;M;Grant;53;Blue;Brown;0;4;3;birds;Librarian;night school;
Fanny;U;Valdez;52;Blue;Blue;0;5;Unk.;cats;Doctor;night school;
Prue;C;Young;77;Blue;Brown;0;6;9;Unknown;Designer;Ventnor Univ.;
Neville;T;Jackson;56;Brown;Black;1;1;5;dogs, fish;Therapist;Ventnor Univ.;
Amy;L;Thomas;34;Brown;Grey;3;5;6;Unknown;Valet;Princetonne;
Zillah;O;Grant;28;Black;Grey;4;1;0;None;Zookeeper;Alpacawarts;
Olive;L;Valdez;34;Black;Red;1;1;8;birds, fish;Zookeeper;Ventnor Univ.;
Kate;R;Queen;37;Green;Violet;0;4;3;birds;Instructor;Saint George;
Leo;R;Ebbers;22;Black;Black;0;4;Unk.;cats;Auditor;night school;
Kate;Y;Johnson;78;Brown;Black;4;1;6;Unknown;Illustrator;night school;
Zillah;E;Unser;61;Black;Green;0;5;6;Unknown;Administrator;Ventnor Univ.;
Susan;B;Xerxes;36;Brown;Red;1;1;6;Unknown;Doctor;night school;
Olive;S;Enfield;64;Brown;Red;0;5;0;None;Nurse;;
Titus;N;Ebbers;47;Orange;Green;0;4;8;birds, fish;Nurse;Ventnor Univ.;
Clara;Y;Phelps;57;Brown;Grey;2;1;0;None;Docent;Ventnor Univ.;
Xerxes;S;Onassis;62;Brown;Black;0;5;9;Unknown;Secretary;Ventnor Univ.;
Xerxes;R;Jackson;22;Black;Black;0;5;8;birds, fish;Therapist;Ventnor Univ.;
Ernest;D;Enfield;30;Black;Black;2;3;2;fish, hamsters;Zookeeper;Princetonne;
Ida;F;Lambert;70;Red;Grey;2;3;5;dogs, fish;Sysop;Princetonne;
Titus;I;Valdez;39;Blue;Grey;4;1;2;fish, hamsters;Chef;Ventnor Univ.;
Prue;E;Hanks;59;Grey;Red;0;6;Unk.;cats;Maid;Ventnor Univ.;
Prue;Y;Johnson;23;Blue;Grey;0;5;8;birds, fish;Mechanic;Saint George;
Kate;O;Onassis;28;Green;Violet;3;5;0;None;Director;Ventnor Univ.;
Amy;S;Lambert;51;Green;Black;0;6;2;fish, hamsters;Valet;Ventnor Univ.;
Vera;F;Quincy;70;Grey;Green;2;2;Unk.;cats;Author;Ventnor Univ.;
Fanny;I;Phelps;46;Green;Violet;0;3;2;fish, hamsters;Designer;Ventnor Univ.;
Yorick;Y;Quincy;57;Red;Brown;3;1;5;dogs, fish;Butler;Ventnor Univ.;
Amy;E;Young;72;Green;Black;0;5;1;hamsters;Chef;Saint George;
Desmond;N;Thomas;67;Red;Green;0;6;Unk.;cats;Busser;Princetonne;
Hector;B;Queen;54;Red;Brown;1;4;0;None;Unemployed;Ventnor Univ.;
Prue;E;Thomas;42;Black;Green;3;3;Unk.;cats;Director;Ventnor Univ.;
Desmond;I;Franklin;39;Green;Black;4;5;8;birds, fish;Designer;Ventnor Univ.;
Zillah;Y;O'Leary;23;Orange;White;1;1;1;hamsters;Journalist;Ventnor Univ.;
Maud;B;Young;18;Orange;Green;3;1;1;hamsters;Anesthiesiologist;Ventnor Univ.;
Leo;N;Dupont;47;Brown;Black;1;4;4;birds, dogs;Unemployed;Ventnor Univ.;
Zillah;Y;Richards;23;Blue;Grey;2;3;0;None;Lumberjack;night school;
Neville;B;Romanov;54;Orange;White;4;5;1;hamsters;Designer;Ventnor Univ.;
Hector;I;Dupont;19;Green;Brown;2;2;Unk.;cats;Masseur;night school;
Basil;Y;Siebert;35;Brown;Red;0;4;Unk.;cats;Auditor;Ventnor Univ.;
Susan;D;Lawrence;30;Orange;Green;4;5;6;Unknown;Maid;night school;
Olive;L;Morrison;34;Orange;Green;2;1;Unk.;cats;Clerk;night school;
Fanny;T;Quincy;24;Grey;Green;0;6;6;Unknown;Waiter;night school;
Rhoda;E;Franklin;69;Red;Grey;3;1;1;hamsters;Secretary;Ventnor Univ.;
Titus;A;Nabors;66;Orange;Grey;4;5;7;birds, hamsters;Teacher;Princetonne;
Titus;A;Ebbers;38;Brown;Green;3;1;2;fish, hamsters;Doctor;Ventnor Univ.;
Kate;W;Unser;27;Red;Green;3;5;8;birds, fish;Professor;Ventnor Univ.;
Clara;O;Thomas;32;Brown;Black;0;6;2;fish, hamsters;Masseur;Ventnor Univ.;
Maud;I;Isaacson;48;Green;Brown;0;5;7;birds, hamsters;Illustrator;Ventnor Univ.;
Prue;I;Black;48;Green;White;4;1;9;Unknown;Librarian;Ventnor Univ.;
Clara;N;Franklin;43;Brown;Grey;1;4;Unk.;cats;Anesthiesiologist;Nelson's Hall;
Titus;Y;Sindel;55;Orange;Grey;0;6;2;fish, hamsters;Docent;Nelson's Hall;
Una;W;Williams;25;Green;Green;1;4;9;Unknown;Waiter;Ventnor Univ.;
Kate;A;Franklin;21;Grey;Red;2;1;1;hamsters;Clerk;Ventnor Univ.;
Victor;Y;Lambert;35;Orange;Blue;3;5;5;dogs, fish;Unemployed;night school;
Victor;C;Phelps;68;Green;Brown;3;1;8;birds, fish;Teacher;night school;
Yorick;A;Young;66;Orange;Blue;3;3;6;Unknown;Anesthiesiologist;Ventnor Univ.;
Basil;E;Lambert;61;Green;Black;3;1;2;fish, hamsters;Teacher;night school;
Prue;W;Romanov;25;Blue;Black;1;4;2;fish, hamsters;Clerk;Ventnor Univ.;
Kate;E;Richards;59;Orange;Blue;2;2;5;dogs, fish;Sysop;Ventnor Univ.;
Xerxes;S;Romanov;64;Black;Black;0;6;5;dogs, fish;Actor;Ventnor Univ.;
Victor;A;Unser;66;Orange;Grey;4;5;4;birds, dogs;Secretary;night school;
Susan;O;Lambert;28;Orange;Blue;1;4;2;fish, hamsters;Doctor;Nelson's Hall;
Victor;R;Isaacson;71;Brown;Grey;3;1;0;None;Entrepreneur;Ventnor Univ.;
Susan;P;Ebbers;58;Blue;Grey;1;1;7;birds, hamsters;Examiner;Nelson's Hall;
Leo;R;Franklin;37;Orange;Green;1;1;Unk.;cats;Botanist;Princetonne;
Ernest;F;Ebbers;70;Black;Red;2;2;Unk.;cats;Chauffeur;Princetonne;
Basil;Y;Sindel;23;Green;White;3;3;5;dogs, fish;Actor;Ventnor Univ.;
Zillah;F;Ximenez;70;Brown;Black;0;3;Unk.;cats;Waiter;Ventnor Univ.;
Prue;R;Lambert;60;Black;Grey;0;4;7;birds, hamsters;Actor;night school;
Zillah;F;Siebert;70;Brown;Red;3;5;0;None;Administrator;night school;
George;C;Onassis;68;Green;Green;0;4;10;dogs, hamsters;Dishwasher;Ventnor Univ.;
Amy;S;Williams;31;Grey;Black;0;4;8;birds, fish;Painter;Ventnor Univ.;
George;O;Howards;32;Black;Green;0;6;4;birds, dogs;Anesthiesiologist;Princetonne;
Winnie;T;Richards;45;Brown;Brown;2;2;9;Unknown;Therapist;night school;
Titus;C;Valdez;77;Green;Violet;1;1;Unk.;cats;Teller;Ventnor Univ.;
Basil;I;Nichols;39;Green;Green;1;1;9;Unknown;Teacher;Ventnor Univ.;
Quentin;N;Adams;20;Red;Green;3;3;Unk.;cats;Designer;night school;
Susan;O;O'Leary;26;Green;Brown;0;4;1;hamsters;Valet;night school;
Zillah;W;Williams;25;Red;Brown;1;1;4;birds, dogs;Secretary;Ventnor Univ.;
Yorick;C;Charles;68;Grey;Green;4;1;9;Unknown;Painter;Ventnor Univ.;
Susan;S;Franklin;64;Orange;Grey;2;3;1;hamsters;Pilot;Nelson's Hall;
Titus;P;Johnson;58;Grey;Green;1;1;10;dogs, hamsters;Cook;Ventnor Univ.;
Desmond;A;Morrison;66;Black;Grey;1;4;Unk.;cats;Tutor;night school;
Desmond;O;Howards;44;Orange;Green;3;1;Unk.;cats;Zookeeper;Ventnor Univ.;
Prue;B;Charles;36;Green;Green;4;5;Unk.;cats;Author;night school;
George;E;Kildare;42;Orange;Brown;1;4;Unk.;cats;Unemployed;Ventnor Univ.;
Yorick;T;Islington;65;Orange;Blue;0;4;8;birds, fish;Butler;night school;
Yorick;S;Yount;31;Black;Black;3;5;10;dogs, hamsters;Journalist;night school;
Susan;N;Garrison;67;Orange;Grey;0;5;10;dogs, hamsters;Anesthiesiologist;Ventnor Univ.;
Clara;M;Yount;53;Blue;Brown;3;3;1;hamsters;Pilot;Princetonne;
Maud;P;Isaacson;58;Blue;Black;3;3;Unk.;cats;Author;Ventnor Univ.;
Zillah;I;Ebbers;46;Blue;Black;1;1;6;Unknown;Cook;Ventnor Univ.;
Amy;Y;Ebbers;57;Green;Violet;4;5;10;dogs, hamsters;Teller;Princetonne;
Ernest;S;Richards;50;Green;Brown;1;1;0;None;Entrepreneur;night school;
Desmond;W;Ximenez;27;Grey;Green;1;4;Unk.;cats;Pilot;Ventnor Univ.;
Rhoda;S;Morrison;51;Black;Black;0;4;7;birds, hamsters;Docent;Princetonne;
Zillah;L;Lambert;41;Green;Violet;2;3;1;hamsters;Botanist;night school;
Yorick;C;Michaels;68;Blue;Black;2;3;5;dogs, fish;Tutor;Ventnor Univ.;
Kate;E;Ebbers;59;Blue;Grey;0;6;2;fish, hamsters;Waiter;Ventnor Univ.;
Zillah;B;Ximenez;54;Brown;Black;0;5;5;dogs, fish;Teacher;Nelson's Hall;
Desmond;R;Islington;22;Black;Green;1;1;Unk.;cats;Singer;Ventnor Univ.;
Susan;F;Jackson;70;Grey;Green;0;6;4;birds, dogs;Doctor;Saint George;
Rhoda;F;Valdez;70;Green;Green;0;4;1;hamsters;Waiter;Ventnor Univ.;
Desmond;A;Phelps;66;Black;Grey;3;1;4;birds, dogs;Analyst;Ventnor Univ.;
Kate;T;Thomas;65;Grey;Black;0;6;5;dogs, fish;Busser;Princetonne;
George;Y;Onassis;35;Red;Green;2;1;0;None;Accountant;Ventnor Univ.;
Titus;W;Jackson;27;Grey;Black;3;3;5;dogs, fish;Tutor;Ventnor Univ.;
Olive;E;Xerxes;69;Brown;Green;2;3;Unk.;cats;Masseur;Ventnor Univ.;
Olive;N;Morrison;33;Red;Green;2;3;Unk.;cats;Designer;Ventnor Univ.;
Fanny;O;Black;32;Grey;Green;2;3;0;None;Analyst;Ventnor Univ.;
Ida;L;Jackson;34;Grey;Green;4;5;8;birds, fish;Butler;night school;
Leo;T;Young;24;Brown;Black;0;5;7;birds, hamsters;Analyst;Ventnor Univ.;
Titus;T;Black;65;Black;Grey;3;5;5;dogs, fish;Sysop;Alpacawarts;
Basil;I;Unser;46;Red;Brown;1;1;Unk.;cats;Chauffeur;Ventnor Univ.;
Una;Q;Lawrence;73;Green;Brown;4;5;Unk.;cats;Clerk;Ventnor Univ.;
George;T;Williams;24;Green;White;1;1;0;None;Tutor;night school;
Yorick;E;Lawrence;69;Red;Green;2;2;6;Unknown;Teller;Princetonne;
Amy;T;Garrison;24;Brown;Brown;0;4;3;birds;Curator;Ventnor Univ.;
Susan;I;Adams;46;Green;Black;4;1;3;birds;Unemployed;Ventnor Univ.;
Quentin;S;Queen;31;Orange;Grey;0;3;Unk.;cats;Unemployed;Nelson's Hall;
James;O;Richards;44;Brown;Black;0;4;8;birds, fish;Painter;Nelson's Hall;
Una;Y;Kildare;55;Green;Green;0;3;8;birds, fish;Illustrator;night school;
Ida;N;Xerxes;43;Red;Grey;4;1;2;fish, hamsters;Lumberjack;night school;
George;T;Jackson;56;Black;Grey;1;1;5;dogs, fish;Accountant;Ventnor Univ.;
Una;N;Enfield;47;Blue;Brown;1;1;1;hamsters;Cook;night school;
Denise;I;Isaacson;19;Brown;Black;3;3;5;dogs, fish;Pilot;Princetonne;
Ida;I;Howards;39;Blue;Brown;3;3;8;birds, fish;Professor;Ventnor Univ.;
Prue;Q;Quincy;73;Grey;Red;3;3;1;hamsters;Clerk;Ventnor Univ.;
Fanny;S;Morrison;31;Red;Green;3;1;Unk.;cats;Journalist;Ventnor Univ.;
Tallulah;M;Enfield;53;Blue;Brown;4;5;8;birds, fish;Accountant;Saint George;
Zillah;B;Ebbers;54;Grey;Green;0;4;8;birds, fish;Mechanic;Ventnor Univ.;
Winnie;M;Williams;53;Grey;Green;1;1;5;dogs, fish;Auditor;night school;
Yorick;N;Phelps;20;Green;Brown;0;6;7;birds, hamsters;Operator;Ventnor Univ.;
Prue;N;Hanks;20;Green;Black;4;1;8;birds, fish;Instructor;night school;
Una;E;Nabors;59;Black;Red;0;4;6;Unknown;Librarian;Princetonne;
Amy;B;Siebert;54;Orange;Blue;2;3;Unk.;cats;Painter;Ventnor Univ.;
Ida;P;Watanabe;58;Orange;Blue;3;1;5;dogs, fish;Accountant;Ventnor Univ.;
Winnie;Y;Grant;55;Black;Grey;3;1;4;birds, dogs;Curator;night school;
Hector;Y;Richards;78;Orange;White;1;1;5;dogs, fish;Designer;Saint George;
Kate;N;Ximenez;76;Green;Brown;3;5;3;birds;Analyst;Ventnor Univ.;
James;S;Dupont;64;Black;Grey;2;2;8;birds, fish;Botanist;Princetonne;
Xerxes;A;Lambert;38;Black;Grey;1;1;2;fish, hamsters;Zookeeper;night school;
Ida;O;Dupont;32;Red;Brown;4;5;2;fish, hamsters;Lumberjack;night school;
Prue;T;Jackson;45;Grey;Black;2;2;5;dogs, fish;Examiner;Ventnor Univ.;
Neville;E;Valdez;42;Brown;Grey;0;5;1;hamsters;Auditor;Nelson's Hall;
Titus;O;Brown;44;Red;Brown;2;3;Unk.;cats;Accountant;Ventnor Univ.;
George;B;Brown;36;Green;Violet;0;6;3;birds;Dishwasher;night school;
Susan;Y;Michaels;35;Orange;Blue;3;5;10;dogs, hamsters;Entrepreneur;night school;
Quentin;C;O'Leary;77;Black;Red;3;3;1;hamsters;Illustrator;Ventnor Univ.;
Clara;O;Queen;28;Black;Grey;0;4;Unk.;cats;Nurse;Ventnor Univ.;
Winnie;W;Morrison;27;Red;Green;0;4;9;Unknown;Clerk;night school;
Fanny;O;Charles;28;Orange;Blue;2;3;4;birds, dogs;Zookeeper;Princetonne;
Maud;E;Nabors;72;Blue;Blue;2;2;0;None;Pilot;Ventnor Univ.;
George;B;Nichols;18;Brown;Grey;4;1;8;birds, fish;Busser;Ventnor Univ.;
Kate;L;Unser;40;Brown;Grey;3;3;2;fish, hamsters;Teller;night school;
Yorick;A;Valdez;38;Orange;Green;3;5;2;fish, hamsters;Instructor;Saint George;
Winnie;S;Grant;64;Green;Black;2;3;7;birds, hamsters;Assistant;Ventnor Univ.;
Leo;T;Isaacson;45;Black;Black;2;2;4;birds, dogs;Zookeeper;Ventnor Univ.;
Zillah;F;Isaacson;70;Blue;Black;1;4;1;hamsters;Dishwasher;Princetonne;
Rhoda;S;Nichols;50;Orange;Blue;1;4;4;birds, dogs;Reporter;Ventnor Univ.;
Neville;N;Charles;76;Blue;Black;2;2;7;birds, hamsters;Author;Ventnor Univ.;
Amy;C;Dupont;68;Brown;Green;2;1;0;None;Dishwasher;Ventnor Univ.;
Victor;E;Thomas;59;Blue;Blue;4;5;9;Unknown;Professor;Ventnor Univ.;
James;R;Brown;37;Orange;Green;3;1;5;dogs, fish;Singer;Ventnor Univ.;
Basil;C;Thomas;68;Grey;Red;0;4;10;dogs, hamsters;Illustrator;Ventnor Univ.;
James;R;Howards;37;Orange;Blue;2;2;3;birds;Unemployed;night school;
Una;A;O'Leary;21;Blue;Grey;4;1;9;Unknown;Doctor;night school;
Neville;U;Franklin;52;Red;Grey;0;3;8;birds, fish;Chauffeur;Princetonne;
Quentin;U;Hanks;52;Black;Red;0;5;Unk.;cats;Doctor;Ventnor Univ.;
Amy;N;Garrison;76;Green;Violet;4;1;8;birds, fish;Assistant;Princetonne;
Leo;I;Michaels;39;Brown;Black;2;1;2;fish, hamsters;Operator;night school;
Kate;S;Williams;64;Grey;Red;2;3;3;birds;Dishwasher;Ventnor Univ.;
Quentin;W;Young;25;Blue;Blue;2;2;0;None;Auditor;Ventnor Univ.;
Kate;O;Williams;32;Blue;Brown;1;1;1;hamsters;Auditor;Ventnor Univ.;
Quentin;F;Jackson;70;Red;Grey;0;3;0;None;Clerk;Ventnor Univ.;
James;I;Yount;46;Orange;White;4;5;6;Unknown;Teacher;Nelson's Hall;
Kate;O;Nabors;44;Orange;Green;2;2;6;Unknown;Chef;Ventnor Univ.;
Fanny;R;Adams;60;Brown;Green;0;4;2;fish, hamsters;Mechanic;Ventnor Univ.;
Basil;B;Unser;36;Red;Brown;0;5;Unk.;cats;Anesthiesiologist;Ventnor Univ.;
Rhoda;I;Howards;48;Brown;Red;0;4;7;birds, hamsters;Teller;night school;
Rhoda;B;Valdez;54;Blue;Blue;3;3;Unk.;cats;Pilot;night school;
Yorick;I;Nichols;46;Orange;Blue;0;4;Unk.;cats;Director;Ventnor Univ.;
Fanny;R;Grant;37;Blue;Blue;0;6;8;birds, fish;Cook;Ventnor Univ.;
George;C;Morrison;68;Blue;Blue;2;3;5;dogs, fish;Secretary;Ventnor Univ.;
George;I;Richards;46;Brown;Brown;0;5;5;dogs, fish;Curator;Ventnor Univ.;
Maud;D;Siebert;30;Grey;Red;1;4;5;dogs, fish;Waiter;Ventnor Univ.;
Kate;I;Howards;48;Green;Black;0;5;1;hamsters;Nurse;Nelson's Hall;
Xerxes;R;Ebbers;60;Orange;Brown;2;1;3;birds;Wildcat;night school;
Amy;W;Quincy;25;Brown;Black;0;5;3;birds;Editor;night school;
Ernest;U;Unser;52;Green;Brown;2;3;Unk.;cats;Analyst;Ventnor Univ.;
James;U;Ebbers;52;Brown;Green;3;3;2;fish, hamsters;Dishwasher;Ventnor Univ.;
George;O;Garrison;26;Grey;Green;2;1;1;hamsters;Entrepreneur;Princetonne;
Una;I;Hanks;63;Grey;Green;3;5;9;Unknown;Nurse;night school;
Winnie;U;Charles;52;Blue;Blue;3;5;6;Unknown;Maid;Nelson's Hall;
Neville;L;Enfield;40;Green;Black;3;3;Unk.;cats;Operator;Ventnor Univ.;
Clara;Y;Adams;78;Blue;Black;2;3;5;dogs, fish;Maid;Ventnor Univ.;
Xerxes;I;Ximenez;48;Brown;Brown;2;2;0;None;Sysop;Duke Academy;
James;B;Isaacson;18;Black;Red;4;1;10;dogs, hamsters;Docent;Princetonne;
Desmond;D;Romanov;30;Blue;Brown;3;1;Unk.;cats;Clerk;Ventnor Univ.;
Ida;N;Richards;67;Blue;Brown;3;1;Unk.;cats;Chef;Alpacawarts;
James;N;O'Leary;33;Brown;Brown;4;1;9;Unknown;Curator;night school;
Zillah;E;Lambert;61;Black;Black;0;6;Unk.;cats;Singer;Ventnor Univ.;
Ernest;Y;Nabors;23;Red;Brown;4;1;2;fish, hamsters;Wildcat;Ventnor Univ.;
Susan;F;Enfield;70;Orange;Grey;3;1;6;Unknown;Unemployed;Princetonne;
Clara;T;Young;56;Red;Brown;1;1;8;birds, fish;Doctor;Ventnor Univ.;
Neville;N;Garrison;47;Blue;Brown;1;1;Unk.;cats;Librarian;Ventnor Univ.;
Fanny;O;Phelps;44;Black;Grey;0;4;10;dogs, hamsters;Valet;Ventnor Univ.;
Clara;N;Lawrence;33;Green;Violet;3;3;5;dogs, fish;Clerk;Ventnor Univ.;
Fanny;D;Charles;30;Grey;Red;3;5;Unk.;cats;Chef;Saint George;
Rhoda;R;Sindel;22;Blue;Grey;2;1;0;None;Chauffeur;Ventnor Univ.;
Rhoda;M;Enfield;53;Green;Green;2;3;0;None;Editor;Ventnor Univ.;
